Merk,Model,Tahun Produksi,Jarak Tempuh,Warna,Engine CC,Transmission,Seat Capacity,Harga,Fuel Type,Umur Mobil
Suzuki,Sx4,2016.0,92500.0,Grey,1500.0,Automatic,5.0,138000000.0,Petrol,9.0
Honda,Hr,2016.0,87500.0,White,1497.0,Automatic,5.0,170000000.0,Petrol,9.0
Mitsubishi,Outlander,2016.0,122500.0,White,1998.0,Automatic,5.0,155000000.0,Petrol,9.0
Hyundai,Palisade,2023.0,22500.0,Blue,2199.0,Automatic,7.0,768000000.0,Diesel,2.0
Toyota,Kijang,2023.0,17500.0,Grey,1998.0,Automatic,7.0,495000000.0,Hybrid,2.0
Lexus,Lx,2009.0,72500.0,Black,5663.0,Automatic,8.0,695000000.0,Petrol,16.0
Hyundai,H,2015.0,47500.0,Black,2359.0,Automatic,8.0,180000000.0,Petrol,10.0
Daihatsu,Luxio,2016.0,137500.0,White,1495.0,Manual,8.0,112000000.0,Petrol,9.0
Mercedes,Benz,2015.0,76000.0,Black,1595.0,Automatic,5.0,270000000.0,Petrol,10.0
Mazda,2,2022.0,37500.0,Grey,1496.0,Automatic,5.0,230000000.0,Petrol,3.0
Lexus,Lm,2022.0,7500.0,Black,3456.0,Automatic,7.0,1275000000.0,Petrol,3.0
Toyota,Rush,2021.0,47500.0,White,1495.0,Automatic,7.0,226000000.0,Petrol,4.0
Toyota,Fortuner,2023.0,12500.0,Black,2755.0,Automatic,7.0,448000000.0,Diesel,2.0
Ford,Ranger,2024.0,27500.0,Black,1996.0,Automatic,5.0,925000000.0,Diesel,1.0
Mercedes,Benz,2014.0,22500.0,Black,2996.0,Automatic,5.0,500000000.0,Petrol,11.0
Jeep,Wrangler,2015.0,62500.0,White,2985.0,Automatic,4.0,825000000.0,Petrol,10.0
Mini,Cooper,2019.0,7500.0,Black,2000.0,Automatic,4.0,695000000.0,Petrol,6.0
Bmw,X5,2024.0,2500.0,White,2998.0,Automatic,5.0,1525000000.0,Petrol,1.0
Toyota,Land,2019.0,17500.0,Black,2693.0,Automatic,7.0,950000000.0,Petrol,6.0
Land,Rover,2022.0,2500.0,Black,2997.0,Automatic,5.0,4795000000.0,Diesel,3.0
Land,Rover,2022.0,2500.0,Black,1997.0,Automatic,5.0,1950000000.0,Petrol,3.0
Mercedes,Benz,2021.0,32500.0,White,2999.0,Automatic,7.0,975000000.0,Petrol,4.0
Lexus,Lm,2022.0,27500.0,Black,3456.0,Automatic,7.0,1195000000.0,Petrol,3.0
Toyota,Land,2024.0,12500.0,Black,3346.0,Automatic,5.0,2195000000.0,Diesel,1.0
Bmw,520I,2024.0,2500.0,Grey,1998.0,Automatic,5.0,1050000000.0,Petrol,1.0
Porsche,Macan,2016.0,17500.0,White,1984.0,Automatic,5.0,635000000.0,Petrol,9.0
